nconobc :
   8
Array: freqnames
  Q1   O1   P1   K1   N2   M2   S2   K2
Array: zetobu_amp
  2.2860000E+00  6.6869998E+00  2.0360000E+00  6.0209999E+00  2.5988001E+01  1.2059700E+02  4.0293999E+01  1.1490000E+01
  2.2869999E+00  6.6820002E+00  2.0090001E+00  5.9780002E+00  2.5889000E+01  1.1993800E+02  4.0011002E+01  1.1416000E+01
  2.2869999E+00  6.6799998E+00  1.9950000E+00  5.9540000E+00  2.5844999E+01  1.1963100E+02  3.9872002E+01  1.1381000E+01
  2.2639999E+00  6.6300001E+00  1.9119999E+00  5.9159999E+00  2.5233000E+01  1.1593000E+02  3.8367001E+01  1.0988000E+01
  2.2460001E+00  6.5809999E+00  1.8210000E+00  5.8569999E+00  2.4593000E+01  1.1205700E+02  3.6806000E+01  1.0578000E+01
  2.1980000E+00  6.5640001E+00  1.9290000E+00  6.1729999E+00  2.4764000E+01  1.1343500E+02  3.7342999E+01  1.0735000E+01
  2.1840000E+00  6.5599999E+00  1.9600000E+00  6.2680001E+00  2.4834000E+01  1.1396900E+02  3.7540001E+01  1.0793000E+01
  2.1359999E+00  6.5400000E+00  2.0650001E+00  6.5730000E+00  2.4959999E+01  1.1504700E+02  3.7984001E+01  1.0922000E+01
  2.1359999E+00  6.5440001E+00  2.0690000E+00  6.5900002E+00  2.5018999E+01  1.1544400E+02  3.8108002E+01  1.0960000E+01
  2.1350000E+00  6.5469999E+00  2.0739999E+00  6.6110001E+00  2.5083000E+01  1.1587600E+02  3.8243999E+01  1.1001000E+01
  2.1329999E+00  6.5500002E+00  2.0799999E+00  6.6350002E+00  2.5152000E+01  1.1634500E+02  3.8391998E+01  1.1045000E+01
  2.1289999E+00  6.5520000E+00  2.0920000E+00  6.6750002E+00  2.5215000E+01  1.1678800E+02  3.8539001E+01  1.1090000E+01
  2.1229999E+00  6.5500002E+00  2.1040001E+00  6.7140002E+00  2.5245001E+01  1.1701900E+02  3.8623001E+01  1.1114000E+01
  2.0999999E+00  6.6310000E+00  2.1910000E+00  6.9689999E+00  2.5200001E+01  1.1723500E+02  3.8783001E+01  1.1160000E+01
  2.0799999E+00  6.7090001E+00  2.2700000E+00  7.1989999E+00  2.5146999E+01  1.1736300E+02  3.8907001E+01  1.1196000E+01
  2.0820000E+00  6.7080002E+00  2.2660000E+00  7.1970000E+00  2.5211000E+01  1.1776300E+02  3.9025002E+01  1.1231000E+01
  2.0820000E+00  6.7220001E+00  2.2700000E+00  7.2040000E+00  2.5174000E+01  1.1757000E+02  3.8969002E+01  1.1215000E+01
  2.0820000E+00  6.7570000E+00  2.2820001E+00  7.2280002E+00  2.5000000E+01  1.1659900E+02  3.8688999E+01  1.1130000E+01
